article_order,article_id,article_title,category,asset_id,type,placement,filename,alt_text,aspect_ratio,prompt,required
4,C06,Cat Nail Clipping: How Often Is It Needed and When Should You Book a Professional?,Cat Grooming,C06-V1,in_article_visual,Immediately after the first major H2 section,cat-nail-clipping-frequency-visual-1.webp,Simple nail-check timeline graphic for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Cat Nail Clipping: How Often Is It Needed and When Should You Book a Professional?”: Simple nail-check timeline graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
4,C06,Cat Nail Clipping: How Often Is It Needed and When Should You Book a Professional?,Cat Grooming,C06-V2,in_article_visual,"Near the middle decision, schedule or comparison section",cat-nail-clipping-frequency-visual-2.webp,Non-graphic close-up showing a normal visible nail tip for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Cat Nail Clipping: How Often Is It Needed and When Should You Book a Professional?”: Non-graphic close-up showing a normal visible nail tip.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
5,C09,Matted Cat Fur: Why It Happens and What Professional Groomers Can Do,Cat Grooming,C09-FEATURED,featured_image,CMS featured image; do not insert again inside article body,matted-cat-fur-grooming-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Matted Cat Fur: Why It Happens and What Professional Groomers Can Do”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
5,C09,Matted Cat Fur: Why It Happens and What Professional Groomers Can Do,Cat Grooming,C09-V1,in_article_visual,Immediately after the first major H2 section,matted-cat-fur-grooming-visual-1.webp,Non-graphic mat-severity illustration for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Matted Cat Fur: Why It Happens and What Professional Groomers Can Do”: Non-graphic mat-severity illustration.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
5,C09,Matted Cat Fur: Why It Happens and What Professional Groomers Can Do,Cat Grooming,C09-V2,in_article_visual,"Near the middle decision, schedule or comparison section",matted-cat-fur-grooming-visual-2.webp,Original before/after only with owner permission and a welfare-focused caption for cat grooming guidance.,4:3,"Create an original photorealistic editorial image supporting “Matted Cat Fur: Why It Happens and What Professional Groomers Can Do”: Original before/after only with owner permission and a welfare-focused caption.. Use a clean Dubai home/mobile-grooming setting, natural light, realistic coat and anatomy, and welfare-first handling. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
6,C02,Mobile Cat Grooming vs Salon Grooming: Which Is Better for Your Cat?,Cat Grooming,C02-FEATURED,featured_image,CMS featured image; do not insert again inside article body,mobile-cat-grooming-vs-salon-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Mobile Cat Grooming vs Salon Grooming: Which Is Better for Your Cat?”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
6,C02,Mobile Cat Grooming vs Salon Grooming: Which Is Better for Your Cat?,Cat Grooming,C02-V1,in_article_visual,Immediately after the first major H2 section,mobile-cat-grooming-vs-salon-visual-1.webp,Mobile-versus-salon comparison table for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Mobile Cat Grooming vs Salon Grooming: Which Is Better for Your Cat?”: Mobile-versus-salon comparison table.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
6,C02,Mobile Cat Grooming vs Salon Grooming: Which Is Better for Your Cat?,Cat Grooming,C02-V2,in_article_visual,"Near the middle decision, schedule or comparison section",mobile-cat-grooming-vs-salon-visual-2.webp,Original SMS doorstep-session photo for cat grooming guidance.,4:3,"Create an original photorealistic editorial image supporting “Mobile Cat Grooming vs Salon Grooming: Which Is Better for Your Cat?”: Original SMS doorstep-session photo.. Use a clean Dubai home/mobile-grooming setting, natural light, realistic coat and anatomy, and welfare-first handling. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
7,D16,"Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained",Dog Grooming,D16-FEATURED,featured_image,CMS featured image; do not insert again inside article body,dog-grooming-prices-dubai-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
7,D16,"Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained",Dog Grooming,D16-V1,in_article_visual,Immediately after the first major H2 section,dog-grooming-prices-dubai-visual-1.webp,Six-card SMS price comparison rebuilt as an accessible table/graphic for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained”: Six-card SMS price comparison rebuilt as an accessible table/graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
7,D16,"Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained",Dog Grooming,D16-V2,in_article_visual,"Near the middle decision, schedule or comparison section",dog-grooming-prices-dubai-visual-2.webp,Coat/size factors diagram for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Dog Grooming Prices in Dubai: Package, Size and Coat Factors Explained”: Coat/size factors diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
8,D01,How Often Should You Groom a Dog? A Schedule by Coat Type and Breed,Dog Grooming,D01-FEATURED,featured_image,CMS featured image; do not insert again inside article body,how-often-groom-dog-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “How Often Should You Groom a Dog? A Schedule by Coat Type and Breed”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
8,D01,How Often Should You Groom a Dog? A Schedule by Coat Type and Breed,Dog Grooming,D01-V1,in_article_visual,Immediately after the first major H2 section,how-often-groom-dog-visual-1.webp,Grooming schedule matrix by coat type for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How Often Should You Groom a Dog? A Schedule by Coat Type and Breed”: Grooming schedule matrix by coat type.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
8,D01,How Often Should You Groom a Dog? A Schedule by Coat Type and Breed,Dog Grooming,D01-V2,in_article_visual,"Near the middle decision, schedule or comparison section",how-often-groom-dog-visual-2.webp,Coat-type visual using original or licensed examples for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How Often Should You Groom a Dog? A Schedule by Coat Type and Breed”: Coat-type visual using original or licensed examples.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
9,D06,"Dog Nail Trimming: Frequency, Overgrowth Signs and Professional Help",Dog Grooming,D06-FEATURED,featured_image,CMS featured image; do not insert again inside article body,dog-nail-trimming-frequency-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Dog Nail Trimming: Frequency, Overgrowth Signs and Professional Help”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
9,D06,"Dog Nail Trimming: Frequency, Overgrowth Signs and Professional Help",Dog Grooming,D06-V1,in_article_visual,Immediately after the first major H2 section,dog-nail-trimming-frequency-visual-1.webp,Nail-check schedule graphic for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Dog Nail Trimming: Frequency, Overgrowth Signs and Professional Help”: Nail-check schedule graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
9,D06,"Dog Nail Trimming: Frequency, Overgrowth Signs and Professional Help",Dog Grooming,D06-V2,in_article_visual,"Near the middle decision, schedule or comparison section",dog-nail-trimming-frequency-visual-2.webp,Ground-contact/clicking signs illustration for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Dog Nail Trimming: Frequency, Overgrowth Signs and Professional Help”: Ground-contact/clicking signs illustration.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
10,D10,Dog Deshedding: How It Works and Which Coats Benefit Most,Dog Grooming,D10-FEATURED,featured_image,CMS featured image; do not insert again inside article body,dog-deshedding-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Dog Deshedding: How It Works and Which Coats Benefit Most”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
10,D10,Dog Deshedding: How It Works and Which Coats Benefit Most,Dog Grooming,D10-V1,in_article_visual,Immediately after the first major H2 section,dog-deshedding-visual-1.webp,Coat-layer diagram for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Dog Deshedding: How It Works and Which Coats Benefit Most”: Coat-layer diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
10,D10,Dog Deshedding: How It Works and Which Coats Benefit Most,Dog Grooming,D10-V2,in_article_visual,"Near the middle decision, schedule or comparison section",dog-deshedding-visual-2.webp,Deshedding-vs-shaving comparison graphic for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Dog Deshedding: How It Works and Which Coats Benefit Most”: Deshedding-vs-shaving comparison graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
11,D02,Mobile Dog Grooming vs Salon Grooming: Which Option Fits Your Dog?,Dog Grooming,D02-FEATURED,featured_image,CMS featured image; do not insert again inside article body,mobile-dog-grooming-vs-salon-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Mobile Dog Grooming vs Salon Grooming: Which Option Fits Your Dog?”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
11,D02,Mobile Dog Grooming vs Salon Grooming: Which Option Fits Your Dog?,Dog Grooming,D02-V1,in_article_visual,Immediately after the first major H2 section,mobile-dog-grooming-vs-salon-visual-1.webp,Mobile-vs-salon comparison table for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Mobile Dog Grooming vs Salon Grooming: Which Option Fits Your Dog?”: Mobile-vs-salon comparison table.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
11,D02,Mobile Dog Grooming vs Salon Grooming: Which Option Fits Your Dog?,Dog Grooming,D02-V2,in_article_visual,"Near the middle decision, schedule or comparison section",mobile-dog-grooming-vs-salon-visual-2.webp,SMS doorstep appointment-flow graphic for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Mobile Dog Grooming vs Salon Grooming: Which Option Fits Your Dog?”: SMS doorstep appointment-flow graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
12,B01,"What Does Professional Bird Grooming Include? Nails, Beak, Feathers and Cleaning",Bird Grooming,B01-FEATURED,featured_image,CMS featured image; do not insert again inside article body,what-does-bird-grooming-include-featured.webp,Pet bird during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “What Does Professional Bird Grooming Include? Nails, Beak, Feathers and Cleaning”. Subject: pet bird. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the bird calmly standing on a secure perch with an experienced avian professional nearby; no forceful restraint, no cutting action, no aerosol, no fragrance and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
12,B01,"What Does Professional Bird Grooming Include? Nails, Beak, Feathers and Cleaning",Bird Grooming,B01-V1,in_article_visual,Immediately after the first major H2 section,what-does-bird-grooming-include-visual-1.webp,"Bird grooming component diagram: nails, beak and feathers for pet bird grooming guidance.",4:3,"Create a clean, original editorial infographic supporting “What Does Professional Bird Grooming Include? Nails, Beak, Feathers and Cleaning”: Bird grooming component diagram: nails, beak and feathers.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
12,B01,"What Does Professional Bird Grooming Include? Nails, Beak, Feathers and Cleaning",Bird Grooming,B01-V2,in_article_visual,"Near the middle decision, schedule or comparison section",what-does-bird-grooming-include-visual-2.webp,Original SMS bird-handling image with species-aware caption for pet bird grooming guidance.,4:3,"Create an original photorealistic editorial image supporting “What Does Professional Bird Grooming Include? Nails, Beak, Feathers and Cleaning”: Original SMS bird-handling image with species-aware caption.. Use a clean Dubai home/mobile-grooming setting, natural light, realistic coat and anatomy, and welfare-first handling. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
13,R01,"What Does Professional Rabbit Grooming Include? Coat, Nails and Hygiene Care",Rabbit Grooming,R01-FEATURED,featured_image,CMS featured image; do not insert again inside article body,what-does-rabbit-grooming-include-featured.webp,Rabbit during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “What Does Professional Rabbit Grooming Include? Coat, Nails and Hygiene Care”. Subject: rabbit. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the rabbit calmly supported on a non-slip grooming surface; no full-water bath, no trancing, no scissors, no unsafe restraint and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
13,R01,"What Does Professional Rabbit Grooming Include? Coat, Nails and Hygiene Care",Rabbit Grooming,R01-V1,in_article_visual,Immediately after the first major H2 section,what-does-rabbit-grooming-include-visual-1.webp,Safe rabbit grooming component diagram for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “What Does Professional Rabbit Grooming Include? Coat, Nails and Hygiene Care”: Safe rabbit grooming component diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
13,R01,"What Does Professional Rabbit Grooming Include? Coat, Nails and Hygiene Care",Rabbit Grooming,R01-V2,in_article_visual,"Near the middle decision, schedule or comparison section",what-does-rabbit-grooming-include-visual-2.webp,Original coat-brushing or nail-care image using gentle supported handling for rabbit grooming guidance.,4:3,"Create an original photorealistic editorial image supporting “What Does Professional Rabbit Grooming Include? Coat, Nails and Hygiene Care”: Original coat-brushing or nail-care image using gentle supported handling.. Use a clean Dubai home/mobile-grooming setting, natural light, realistic coat and anatomy, and welfare-first handling. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
14,C11,"Your Kitten’s First Grooming Appointment: Age, Preparation and What to Expect",Cat Grooming,C11-FEATURED,featured_image,CMS featured image; do not insert again inside article body,kitten-first-grooming-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Your Kitten’s First Grooming Appointment: Age, Preparation and What to Expect”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
14,C11,"Your Kitten’s First Grooming Appointment: Age, Preparation and What to Expect",Cat Grooming,C11-V1,in_article_visual,Immediately after the first major H2 section,kitten-first-grooming-visual-1.webp,Kitten grooming-readiness timeline for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Your Kitten’s First Grooming Appointment: Age, Preparation and What to Expect”: Kitten grooming-readiness timeline.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
14,C11,"Your Kitten’s First Grooming Appointment: Age, Preparation and What to Expect",Cat Grooming,C11-V2,in_article_visual,"Near the middle decision, schedule or comparison section",kitten-first-grooming-visual-2.webp,Original calm handling photo using a non-slip surface for cat grooming guidance.,4:3,"Create an original photorealistic editorial image supporting “Your Kitten’s First Grooming Appointment: Age, Preparation and What to Expect”: Original calm handling photo using a non-slip surface.. Use a clean Dubai home/mobile-grooming setting, natural light, realistic coat and anatomy, and welfare-first handling. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
15,C03,How to Prepare Your Cat for a Mobile Grooming Appointment,Cat Grooming,C03-FEATURED,featured_image,CMS featured image; do not insert again inside article body,prepare-cat-mobile-grooming-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “How to Prepare Your Cat for a Mobile Grooming Appointment”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
